2.43,32.37,-4.86,-0.48,0.17,-0.03,-0.02,0.00,0.036056
2.33,32.37,-4.86,-0.45,0.19,-0.11,-0.01,0.02,0.11225
2.48,32.38,-4.88,-0.38,0.18,0.09,-0.01,-0.00,0.090554
2.51,32.38,-4.88,-0.42,0.20,-0.05,-0.01,-0.01,0.051962
2.56,32.38,-4.90,-0.42,0.14,0.02,-0.00,-0.02,0.028284
2.51,32.38,-4.91,-0.45,0.16,0.02,-0.00,-0.02,0.028284
2.48,32.38,-4.90,-0.49,0.13,-0.02,-0.01,-0.01,0.024495
2.48,32.38,-4.91,-0.49,0.19,-0.10,-0.02,0.01,0.10247
2.38,32.38,-4.89,-0.40,0.21,0.08,-0.02,0.00,0.082462
2.43,32.38,-4.90,-0.43,0.19,0.05,-0.01,-0.00,0.05099
2.41,32.38,-4.89,-0.35,0.19,-0.04,-0.01,-0.01,0.042426
2.23,32.38,-4.90,-0.47,0.11,-0.05,-0.01,-0.01,0.051962
2.40,32.38,-4.91,-0.38,0.20,-0.11,-0.01,0.00,0.110454
2.38,32.38,-4.92,-0.41,0.21,-0.12,-0.00,-0.01,0.120416
2.50,32.38,-4.93,-0.36,0.20,0.08,-0.01,-0.02,0.083066
2.48,32.38,-4.85,-0.50,0.14,-0.02,0.00,-0.02,0.028284
2.27,32.38,-4.89,-0.52,0.17,0.41,-0.03,-0.03,0.412189
2.30,32.38,-4.91,-0.45,0.23,0.20,-0.01,-0.01,0.200499
2.30,32.39,-4.89,-0.41,0.20,0.04,-0.01,0.00,0.041231
2.24,32.39,-4.88,-0.43,0.21,0.38,-0.02,-0.03,0.381707
2.26,32.39,-4.90,-0.39,0.20,-0.43,0.01,0.01,0.430232
2.19,32.39,-4.85,-0.46,0.15,0.06,-0.02,-0.02,0.066332
2.25,32.39,-4.90,-0.44,0.18,0.04,-0.02,-0.01,0.045826
2.15,32.39,-4.92,-0.47,0.18,0.12,-0.02,-0.01,0.122066
2.22,32.39,-4.90,-0.48,0.22,-0.06,-0.01,0.00,0.060828
2.32,32.39,-4.90,-0.56,0.16,-0.13,-0.01,0.01,0.130767
2.32,32.39,-4.87,-0.50,0.11,-0.00,-0.01,-0.01,0.014142
2.42,32.39,-4.89,-0.46,0.22,-0.08,-0.00,-0.01,0.080623
2.41,32.39,-4.89,-0.44,0.22,0.21,-0.01,-0.03,0.212368
2.32,32.39,-4.91,-0.48,0.20,0.19,-0.01,-0.01,0.190526
2.42,32.39,-4.88,-0.47,0.17,0.14,-0.01,0.00,0.140357
2.49,32.39,-4.87,-0.44,0.18,0.20,-0.01,0.00,0.20025
2.52,32.39,-4.90,-0.33,0.21,0.21,-0.01,-0.00,0.210238
2.49,32.39,-4.91,-0.36,0.19,0.03,-0.01,-0.01,0.033166
2.44,32.39,-4.90,-0.43,0.17,-0.10,-0.01,-0.02,0.10247
2.44,32.39,-4.90,-0.44,0.18,-0.08,-0.02,-0.02,0.084853
2.33,32.39,-4.90,-0.47,0.20,0.01,-0.02,-0.01,0.024495
2.41,32.39,-4.91,-0.53,0.18,0.04,-0.02,0.00,0.044721
2.37,32.39,-4.89,-0.43,0.24,0.07,-0.02,0.02,0.075498
2.49,32.39,-4.86,-0.34,0.24,0.08,-0.00,0.00,0.08
2.44,32.39,-4.91,-0.34,0.17,-0.07,0.01,-0.02,0.073485
2.40,32.39,-4.94,-0.46,0.16,0.03,-0.01,-0.04,0.05099
2.40,32.39,-4.96,-0.60,0.14,-0.12,-0.02,-0.02,0.123288
2.39,32.40,-4.87,-0.56,0.15,-0.13,-0.02,0.01,0.131909
